track_id,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,"target (t hit, 0 flop)"
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott;Rob49;21 Savage,0.715,0.567,-4.481,0.0865,0.06,0.0,0.0655,0.332,0
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,-17.665,0.0307,0.959,1.05e-06,0.098,0.142,0
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,0.776,0.817,-6.018,0.0748,0.18,3.44e-05,0.146,0.515,0
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,0.783,0.592,-8.332,0.0331,0.435,4.15e-06,0.347,0.726,0
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj;Ice Spice;Aqua,0.77,0.58,-8.393,0.247,0.519,0.000127,0.233,0.753,0
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,0.492,0.675,-5.456,0.0389,0.467,0.0,0.142,0.478,0
0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,0.57,0.67,-6.519,0.0274,0.426,0.0,0.108,0.593,0
2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,Yng Lvcas;Peso Pluma,0.812,0.479,-5.678,0.333,0.213,1.21e-06,0.0756,0.559,0
59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,0.517,0.675,-5.382,0.0357,0.459,0.0,0.151,0.518,0
1Ukxccao1BlWrPhYkcXbwZ,From The Start,Laufey,0.664,0.405,-7.413,0.08,0.877,0.000765,0.11,0.743,0
1PH2MDbcBAU094DlgTIND1,THANK GOD,Travis Scott,0.657,0.553,-7.08,0.0394,0.254,0.0,0.129,0.576,0
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,Bad Bunny,0.652,0.8,-4.019,0.0614,0.143,0.629,0.112,0.234,0
5L3ecxQnQ9qTBmnLQiwf0C,K-POP,Travis Scott;Bad Bunny;The Weeknd,0.814,0.618,-5.614,0.0619,0.0386,3.34e-06,0.671,0.535,0
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,0
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,0.656,0.757,-5.775,0.0308,0.492,0.0,0.117,0.429,0
4daEMLSZCgZ2Mt7gNm2SRa,Flooded The Face,Lil Uzi Vert,0.64,0.609,-7.714,0.304,0.492,2.47e-06,0.152,0.393,0
368eeEO3Y2uZUQ6S5oIjcu,TQM,Fuerza Regida,0.786,0.853,-4.955,0.0589,0.273,0.0,0.106,0.963,0
42TtHTxWk782ZBiqyOi2d1,Dawns (feat. Maggie Rogers),Zach Bryan;Maggie Rogers,0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,0
0hL9gOw6XBWsygEUcVjxEc,HYAENA,Travis Scott,0.608,0.754,-5.277,0.0719,0.0305,0.0,0.119,0.455,0
4kjI1gwQZRKNDkw1nI475M,MY EYES,Travis Scott,0.455,0.621,-7.694,0.0517,0.651,2.59e-06,0.123,0.28,0
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Travis Scott;SZA;Future,0.458,0.535,-4.854,0.0281,0.575,0.0,0.168,0.216,0
7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,0.708,0.737,-4.045,0.0436,0.0739,0.00162,0.0955,0.607,0
6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),Lil Durk;J. Cole,0.829,0.436,-8.205,0.327,0.15,0.0,0.0954,0.693,0
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.0,0.115,0.67,0
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),Jung Kook;Latto,0.802,0.832,-4.107,0.0434,0.311,0.0,0.0815,0.89,0
5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap;Peso Pluma,0.854,0.668,-7.848,0.0466,0.264,5.61e-05,0.117,0.805,0
